participant_id,trial,category,name1,name2,name3
11,1,spice,Ginger,Cloves,Cumin
14,1,spice,Cumin,Paprika,Nutmeg
15,1,cereal,cheerios,sugar--xxmf--flakes,apple--xxmf--bits
16,1,spice,Rosemary--xxmf--leaves,Thyme--xxmf--leaves,Ground--xxmf--cumin
19,1,drink,Coke,Sprite,Juice
20,1,drink,Coke,Fanta,Fruit--xxmf--punch
21,1,spice,sage,ginger,cumin--xxmf--seed
22,1,snack,Ritz,Pop--xxmf--Corn,Flaming--xxmf--Hot--xxmf--Cheetos
23,1,drink,diet--xxmf--pepsi--xxmf--caffiene--xxmf--free,diet--xxmf--pepsi,diet--xxmf--dr--xxmf--pepper
24,1,spice,Turmeric,Fennel--xxmf--Seed,Tarragon--xxmf--Leaves
25,1,snack,Tuna,Almonds,Rice--xxmf--cakes
27,1,drink,Water,Propel--xxmf--berry,Bone--xxmf--broth
29,1,spice,Paprika,Crushed--xxmf--Red--xxmf--Peppers,Cumin
30,1,drink,V8--xxmf--Juice,Milk,Orange--xxmf--Juice
32,1,spice,Onion--xxmf--powder,Bay--xxmf--leaves,Crushed--xxmf--red--xxmf--pepper
34,1,snack,Utz,Ruffles,Doritos
36,1,spice,Ground--xxmf--Cumin,Chili--xxmf--powder,Ground--xxmf--ginger--xxmf--
38,1,cereal,Total,Raisin--xxmf--Bran,Fiber--xxmf--One
40,1,bottle,Coca--xxmf--cola,7up,Mountain--xxmf--Dew
44,1,spice,Garlic--xxmf--salt,Black--xxmf--pepper,Spice--xxmf--and--xxmf--salt
45,1,bottle,Rockstar,Bolt--xxmf--house,Rockstar--xxmf--zero
46,1,cereal,Lucky--xxmf--charms,Cheerios,Apple--xxmf--jacks
49,1,drink,Coca--xxmf--cola,Bubly--xxmf--,Spire--xxmf--cider
50,1,cereal,Apple--xxmf--jacks,Corn--xxmf--chex,Donut--xxmf--shop
54,1,bottle,Sprite,Club--xxmf--soda,Beer
55,1,spice,Kasuri--xxmf--Methi,Pav--xxmf--Bhaji--xxmf--Masala,Tandoori--xxmf--Chicken--xxmf--Masala
57,1,cereal,Apple--xxmf--jacks,Cherrios,Cornpops
60,1,cereal,Cheerios,Wheat--xxmf--brand,Toasty--xxmf--Os
62,1,spice,Pure--xxmf--ground--xxmf--mustard--xxmf--,Oregano--xxmf--leaves--xxmf--,Crushed--xxmf--red--xxmf--pepper--xxmf--
63,1,bottle,Simple--xxmf--lemonade--xxmf--,Sangria,Bolio
65,1,spice,soy--xxmf--sauce,hot--xxmf--sauce,plum--xxmf--sauce
66,1,drink,Sprite--xxmf--Zero--xxmf--,Water,Propel
69,1,drink,Sprite,Mountain--xxmf--dew,Baja--xxmf--blast
71,1,spice,Cayenne--xxmf--pepper,Seasoned--xxmf--salt,Chili--xxmf--powder
75,1,spice,Thyme,Cloves,Cilantro
76,1,spice,Cumin,Chili--xxmf--Powder,Cayenne--xxmf--Pepper
77,1,spice,Ground--xxmf--mustard,Onion--xxmf--powder,Garlic--xxmf--powder
80,1,spice,Garlic--xxmf--Powder,Black--xxmf--Pepper--xxmf--,Cayenne--xxmf--Pepper--xxmf--
82,1,spice,Cinnamon,Paprika,Black--xxmf--pepper
84,1,cereal,Honey--xxmf--nut--xxmf--Cheerios,Cascade--xxmf--Farms--xxmf--Berry--xxmf--Vanilla--xxmf--Puffs,Sunrise--xxmf--Crunchy--xxmf--Honey
85,1,drink,Mixed--xxmf--berry--xxmf--sparkling--xxmf--water,Rethink--xxmf--water,Juicy--xxmf--juice--xxmf--splashers
86,1,cereal,Lucky--xxmf--Charms,Special--xxmf--K,Raisin--xxmf--Bran
87,1,bottle,Peanuts,Sake,Vodka
90,1,drink,Dr--xxmd----xxmf--Pepper--xxmf--10,Dr--xxmd----xxmf--Pepper,Spindrift
91,1,cereal,Cinnamon--xxmf--Toast--xxmf--Crunch,Honey--xxmf--Bunches--xxmf--of--xxmf--Oats--xxmf--Honey--xxmf--Roasted,Rice--xxmf--Squares
92,1,snack,Popcorn,Cracker,Mochi--xxmf--rice--xxmf--nuggets
94,1,spice,Ground--xxmf--Coriander,Poppy--xxmf--Seed,Curry--xxmf--Powder
96,1,spice,Cinnamon,Pepper,Creole--xxmf--seasoning
97,1,bottle,Soda--xxmf--bottle,Water--xxmf--bottle,Purity--xxmf--water--xxmf--bottle
98,1,spice,Chili--xxmf--powder,Cajun--xxmf--spice,Ground--xxmf--cumin
100,1,snack,Chips,Fruit--xxmf--cups,Crackers
101,1,cereal,Frosted--xxmf--Flakes--xxmf--,Oreo--xxmf--oâ€™s,Cinnamon--xxmf--Toast--xxmf--Crunch--xxmf--
102,1,spice,Saffron,Chili--xxmf--powder,Cumin
105,1,bottle,Mustard,Barbecue--xxmf--sauce,Grape
116,1,spice,Cinnamon,Sage,Oregano
117,1,spice,Cayenne--xxmf--Red--xxmf--Pepper,Steak--xxmf--Seasoning,Smoked--xxmf--Paprika
120,1,spice,Ground--xxmf--cumin,Ground--xxmf--cinnamon,Garlic--xxmf--salt--xxmf--with--xxmf--parsley
124,1,spice,Black--xxmf--pepper,Season--xxmf--all,Garlic--xxmf--powder
127,1,snack,Apples,Pork--xxmf--rinds--xxmf--,Lunch--xxmf--meat--xxmf--
129,1,bottle,Water--xxmf--bottle,Coke--xxmf--bottles--xxmf--,Dr--xxmf--pepper--xxmf--bottle
130,1,drink,Coca--xxmf--cola,Tea,Milk
131,1,snack,Peanuts--xxmf--,Raisins--xxmf--,Wafers--xxmf--
132,1,spice,Steak--xxmf--Seasoning,Cayenne--xxmf--Pepper,Meat--xxmf--Tenderizer
135,1,snack,Crackers,Oatmeal,Sweets
174,1,snack,Cheez--xxmf--it,Chex--xxmf--mix,Pita--xxmf--chips
175,1,spice,cinnamon,taco--xxmf--seasoning,oregano
177,1,spice,Cloves,Tumeric,Allspice
179,1,spice,Sage,Poultry--xxmf--seasoning,Ground--xxmf--cloves
181,1,drink,Lactaid--xxmf--fat--xxmf--free--xxmf--milk,Lactate--xxmf--reduced--xxmf--fat--xxmf--milk,Japanese--xxmf--green--xxmf--tea
184,1,cereal,Raisin--xxmf--Bran,Apple--xxmf--Jacks--xxmf--,Krave
185,1,drink,Milk,Graoe--xxmf--juice,Pumpkin--xxmf--spice--xxmf--creamer
186,1,bottle,Olive--xxmf--oil,Beer,Acai--xxmf--juice
191,1,drink,Coke,Dr--xxmd----xxmf--Pepper,Schweppes
193,1,spice,Onion--xxmf--powder,Garlic--xxmf--powder,Basil
197,1,drink,Coca--xxmf--cola,Super--xxmf--Chill--xxmf--Orange,Pepsi
201,1,spice,Chili--xxmf--Powder,Paprika,Rosemary
202,1,spice,Minced--xxmf--onions,Poppy--xxmf--seeds,Paprika
