rid,participant_id,trial,phase,total_cnt,obj_cnt,truth_clean,truth,prediction,time,date
8620,11,1,test0,1,1,Cumin,Cumin,spread,1536526005258,"2018-09-09 16:46:45"
8621,11,1,test0,2,1,Ginger,Ginger,spread,1536526021955,"2018-09-09 16:47:01"
8622,11,1,test0,3,2,Ginger,Ginger,spread,1536526031075,"2018-09-09 16:47:11"
8623,11,1,test0,4,1,Cloves,Cloves,sauce,1536526043576,"2018-09-09 16:47:23"
8624,11,1,test0,5,2,Cloves,Cloves,sauce,1536526054094,"2018-09-09 16:47:34"
8625,11,1,test0,6,3,Cloves,Cloves,sauce,1536526066249,"2018-09-09 16:47:46"
8626,11,1,test0,7,2,Cumin,Cumin,sauce,1536526078845,"2018-09-09 16:47:58"
8627,11,1,test0,8,3,Ginger,Ginger,sauce,1536526089985,"2018-09-09 16:48:09"
8628,11,1,test0,9,4,Cloves,Cloves,sauce,1536526102510,"2018-09-09 16:48:22"
8629,11,1,test0,10,3,Cumin,Cumin,sauce,1536526113636,"2018-09-09 16:48:33"
8630,11,1,test0,11,4,Ginger,Ginger,sauce,1536526124505,"2018-09-09 16:48:44"
8631,11,1,test0,12,4,Cumin,Cumin,spread,1536526137345,"2018-09-09 16:48:57"
8632,11,1,test0,13,5,Cloves,Cloves,spread,1536526150603,"2018-09-09 16:49:10"
8633,11,1,test0,14,5,Cumin,Cumin,sauce,1536526167658,"2018-09-09 16:49:27"
8634,11,1,test0,15,5,Ginger,Ginger,sauce,1536526179137,"2018-09-09 16:49:39"
8725,11,1,test1,1,1,Cumin,Cumin,cumin,1536526739479,"2018-09-09 16:58:59"
8726,11,1,test1,2,2,Cumin,Cumin,cumin,1536526745153,"2018-09-09 16:59:05"
8727,11,1,test1,3,3,Cumin,Cumin,cumin,1536526749796,"2018-09-09 16:59:09"
8728,11,1,test1,4,1,Ginger,Ginger,cloves,1536526754340,"2018-09-09 16:59:14"
8729,11,1,test1,5,2,Ginger,Ginger,cumin,1536526761798,"2018-09-09 16:59:21"
8730,11,1,test1,6,1,Cloves,Cloves,cumin,1536526772323,"2018-09-09 16:59:32"
8731,11,1,test1,7,2,Cloves,Cloves,cumin,1536526782787,"2018-09-09 16:59:42"
8732,11,1,test1,8,3,Cloves,Cloves,cumin,1536526789896,"2018-09-09 16:59:49"
8733,11,1,test1,9,4,Cloves,Cloves,cumin,1536526796321,"2018-09-09 16:59:56"
8734,11,1,test1,10,4,Cumin,Cumin,cumin,1536526807631,"2018-09-09 17:00:07"
8735,11,1,test1,11,5,Cloves,Cloves,cumin,1536526817732,"2018-09-09 17:00:17"
8736,11,1,test1,12,3,Ginger,Ginger,ginger,1536526828123,"2018-09-09 17:00:28"
8737,11,1,test1,13,4,Ginger,Ginger,cumin,1536526837486,"2018-09-09 17:00:37"
8738,11,1,test1,14,5,Cumin,Cumin,cumin,1536526846702,"2018-09-09 17:00:46"
8739,11,1,test1,15,5,Ginger,Ginger,ginger,1536526855717,"2018-09-09 17:00:55"
8858,11,1,test2,1,1,Cloves,Cloves,cloves,1536527446088,"2018-09-09 17:10:46"
8861,11,1,test2,2,1,Cumin,Cumin,cumin,1536527455575,"2018-09-09 17:10:55"
8862,11,1,test2,3,2,Cumin,Cumin,cumin,1536527461236,"2018-09-09 17:11:01"
8863,11,1,test2,4,2,Cloves,Cloves,cloves,1536527469212,"2018-09-09 17:11:09"
8865,11,1,test2,5,3,Cumin,Cumin,cumin,1536527477345,"2018-09-09 17:11:17"
8870,11,1,test2,6,1,Ginger,Ginger,cumin,1536527486154,"2018-09-09 17:11:26"
8873,11,1,test2,7,2,Ginger,Ginger,cumin,1536527491464,"2018-09-09 17:11:31"
8880,11,1,test2,8,4,Cumin,Cumin,cumin,1536527499212,"2018-09-09 17:11:39"
8885,11,1,test2,9,3,Cloves,Cloves,cumin,1536527506584,"2018-09-09 17:11:46"
8889,11,1,test2,10,3,Ginger,Ginger,cloves,1536527518116,"2018-09-09 17:11:58"
8896,11,1,test2,11,4,Cloves,Cloves,cloves,1536527527109,"2018-09-09 17:12:07"
8901,11,1,test2,12,4,Ginger,Ginger,ginger,1536527535242,"2018-09-09 17:12:15"
8905,11,1,test2,13,5,Ginger,Ginger,cloves,1536527540240,"2018-09-09 17:12:20"
8911,11,1,test2,14,5,Cumin,Cumin,cumin,1536527548251,"2018-09-09 17:12:28"
8916,11,1,test2,15,5,Cloves,Cloves,cloves,1536527556139,"2018-09-09 17:12:36"
8635,11,1,train1,1,1,Cumin,Cumin,na,1536526208471,"2018-09-09 16:50:08"
8636,11,1,train1,2,2,Cumin,Cumin,na,1536526214214,"2018-09-09 16:50:14"
8637,11,1,train1,3,3,Cumin,Cumin,na,1536526220160,"2018-09-09 16:50:20"
8638,11,1,train1,4,4,Cumin,Cumin,na,1536526227035,"2018-09-09 16:50:27"
8639,11,1,train1,5,5,Cumin,Cumin,na,1536526233806,"2018-09-09 16:50:33"
8640,11,1,train1,6,6,Cumin,Cumin,na,1536526248200,"2018-09-09 16:50:48"
8641,11,1,train1,7,7,Cumin,Cumin,na,1536526253159,"2018-09-09 16:50:53"
8642,11,1,train1,8,8,Cumin,Cumin,na,1536526258860,"2018-09-09 16:50:58"
8643,11,1,train1,9,9,Cumin,Cumin,na,1536526270155,"2018-09-09 16:51:10"
8644,11,1,train1,10,10,Cumin,Cumin,na,1536526275727,"2018-09-09 16:51:15"
8645,11,1,train1,11,11,Cumin,Cumin,na,1536526279608,"2018-09-09 16:51:19"
8646,11,1,train1,12,12,Cumin,Cumin,na,1536526286199,"2018-09-09 16:51:26"
